date,0x5d22045DAcEAB03B158031eCB7D9d06Fad24609b
2022-03-06,1894.67365151
2022-03-07,1927.97980029
2022-03-08,1945.97980029
2022-03-09,2224.10643477
2022-03-10,1904.57116798
2022-03-11,2254.99093013
2022-03-12,1933.82219823
2022-03-13,1999.21719823
2022-03-14,2021.19799419
2022-03-15,2026.4921679
2022-03-16,2098.9826379
2022-03-17,2137.7526379
2022-03-18,1826.46294693
2022-03-19,1851.46294693
2022-03-20,2729.17950193
2022-03-21,3318.10734322
2022-03-22,2620.43188003
2022-03-23,1602.05462039
2022-03-24,1602.15462039
2022-03-25,1631.25658765
2022-03-26,1655.76608605
2022-03-27,1656.32858745
2022-03-28,1676.68858745
2022-03-29,1694.00548888
2022-03-30,1737.82963691
2022-03-31,1751.09859091
2022-04-01,1763.71359429
2022-04-02,1811.37938096
2022-04-03,1836.73438096
2022-04-04,1839.13679892
2022-04-05,2139.20691434
2022-04-06,2149.21790587
2022-04-07,2175.77390587
2022-04-08,2628.32887424
2022-04-09,2255.74518276
2022-04-10,2381.58004181
2022-04-11,2381.58004181
2022-04-12,2229.76717433
2022-04-13,2263.5174506
2022-04-14,2268.52341918
2022-04-15,2273.94305271
2022-04-16,2337.82544213
2022-04-17,2036.89789614
2022-04-18,2037.82287429
2022-04-19,2040.98118682
2022-04-20,1807.4963282
2022-04-21,1839.37761758
2022-04-22,1844.46303447
2022-04-23,1848.01158479
2022-04-24,1855.08158479
2022-04-25,1881.21903904
2022-04-26,1881.33903904
2022-04-27,1881.43903904
2022-04-28,1888.75358181
2022-04-29,1890.52496078
2022-04-30,1890.54496078
2022-05-01,1892.81696078
2022-05-02,1912.67268556
2022-05-03,1912.80568556
2022-05-04,1915.39763692
2022-05-05,1916.53851299
2022-05-06,1916.64851299
2022-05-07,1921.99451299
2022-05-08,2121.07001725
2022-05-09,2303.26642874
2022-05-10,2548.61387231
2022-05-11,2168.28669776
2022-05-12,2190.91669776
2022-05-13,2302.26669776
2022-05-14,2354.31669776
2022-05-15,2359.04970518
2022-05-16,2363.1103361
2022-05-17,2363.41421032
2022-05-18,2366.87096112
2022-05-19,2465.10689954
2022-05-20,2471.47842683
2022-05-21,3113.62842683
2022-05-22,2743.4575767
2022-05-23,2740.67016425
